Source,Valid,URL,ImagesURL,ImagesNumber,FirstImageNumber
cb3,yes,https://coralnet.ucsd.edu/source/3479/,https://coralnet.ucsd.edu/source/3479/browse/images/,14092,2865036
cb4,yes,https://coralnet.ucsd.edu/source/3545/,https://coralnet.ucsd.edu/source/3545/browse/images/,14092,2950992
Chao Jing Park Surveys 潮境公園調查,yes,https://coralnet.ucsd.edu/source/4250/,https://coralnet.ucsd.edu/source/4250/browse/images/,1428,3610226
CoralNet,yes,https://coralnet.ucsd.edu/source/3420/,https://coralnet.ucsd.edu/source/3420/browse/images/,671,2856289
CoralNet_Assistance_Test_0921,yes,https://coralnet.ucsd.edu/source/2297/,https://coralnet.ucsd.edu/source/2297/browse/images/,4272,2110322
CREP- REA Calibration-NWHI,yes,https://coralnet.ucsd.edu/source/1372/,https://coralnet.ucsd.edu/source/1372/browse/images/,2600,3934035
CREP-REA HAWAII,yes,https://coralnet.ucsd.edu/source/372/,https://coralnet.ucsd.edu/source/372/browse/images/,66098,423788
CREP-REA HAWAII_v2,yes,https://coralnet.ucsd.edu/source/1579/,https://coralnet.ucsd.edu/source/1579/browse/images/,16438,1693582
CREP-REA MARIANAS,yes,https://coralnet.ucsd.edu/source/373/,https://coralnet.ucsd.edu/source/373/browse/images/,22015,1020897
CREP-REA NWHI 2017 Tiny Photos,yes,https://coralnet.ucsd.edu/source/1376/,https://coralnet.ucsd.edu/source/1376/browse/images/,570,1054658
CREP-REA SAMOA/PRIA,yes,https://coralnet.ucsd.edu/source/295/,https://coralnet.ucsd.edu/source/295/browse/images/,79063,160099
CREP-REA SAMOA/PRIA Calibration,yes,https://coralnet.ucsd.edu/source/1097/,https://coralnet.ucsd.edu/source/1097/browse/images/,1786,857172
CREP-REA SAMOA/PRIA v2,yes,https://coralnet.ucsd.edu/source/1288/,https://coralnet.ucsd.edu/source/1288/browse/images/,31379,1108305
curacao,yes,https://coralnet.ucsd.edu/source/3414/,https://coralnet.ucsd.edu/source/3414/browse/images/,5771,2707972
ESD_MARIANA_2022_BIA_Calibration,yes,https://coralnet.ucsd.edu/source/3336/,https://coralnet.ucsd.edu/source/3336/browse/images/,1000,2563594
ESD_REA_MARIANA_v2,yes,https://coralnet.ucsd.edu/source/3371/,https://coralnet.ucsd.edu/source/3371/browse/images/,15341,2608670
French Polynesia SEA Reef Surveys,yes,https://coralnet.ucsd.edu/source/3697/,https://coralnet.ucsd.edu/source/3697/browse/images/,1049,3428679
Hawaii_Leleiwi,yes,https://coralnet.ucsd.edu/source/3373/,https://coralnet.ucsd.edu/source/3373/browse/images/,425,2762669
island wide,yes,https://coralnet.ucsd.edu/source/3357/,https://coralnet.ucsd.edu/source/3357/browse/images/,565,2626610
Kahekili,yes,https://coralnet.ucsd.edu/source/554/,https://coralnet.ucsd.edu/source/554/browse/images/,13583,503829
Kimbe Bay study,yes,https://coralnet.ucsd.edu/source/4451/,https://coralnet.ucsd.edu/source/4451/browse/images/,511,3743803
Kulbul,yes,https://coralnet.ucsd.edu/source/2286/,https://coralnet.ucsd.edu/source/2286/browse/images/,2664,1985715
mal100,yes,https://coralnet.ucsd.edu/source/3499/,https://coralnet.ucsd.edu/source/3499/browse/images/,6000,2907225
Maldives_2021,yes,https://coralnet.ucsd.edu/source/2795/,https://coralnet.ucsd.edu/source/2795/browse/images/,7779,2155814
Maldives_2022,yes,https://coralnet.ucsd.edu/source/3401/,https://coralnet.ucsd.edu/source/3401/browse/images/,7196,2686380
maldives_bbb5,yes,https://coralnet.ucsd.edu/source/3555/,https://coralnet.ucsd.edu/source/3555/browse/images/,2000,2990333
maldives_bbb6,yes,https://coralnet.ucsd.edu/source/3573/,https://coralnet.ucsd.edu/source/3573/browse/images/,2000,3042605
Maldives_bitbybit3,yes,https://coralnet.ucsd.edu/source/3497/,https://coralnet.ucsd.edu/source/3497/browse/images/,6000,2901830
maldives_check2020,yes,https://coralnet.ucsd.edu/source/3416/,https://coralnet.ucsd.edu/source/3416/browse/images/,4824,2708092
maldives_check2021,yes,https://coralnet.ucsd.edu/source/3417/,https://coralnet.ucsd.edu/source/3417/browse/images/,2378,2708108
Maldives_Katie,yes,https://coralnet.ucsd.edu/source/3460/,https://coralnet.ucsd.edu/source/3460/browse/images/,7202,2789729
maldives_theirs2,yes,https://coralnet.ucsd.edu/source/3421/,https://coralnet.ucsd.edu/source/3421/browse/images/,8852,2724896
Maui_Honolua,yes,https://coralnet.ucsd.edu/source/2715/,https://coralnet.ucsd.edu/source/2715/browse/images/,670,2237910
Maui_Kanahena Bay,yes,https://coralnet.ucsd.edu/source/2864/,https://coralnet.ucsd.edu/source/2864/browse/images/,653,2236237
Maui_Mahinahina,yes,https://coralnet.ucsd.edu/source/2859/,https://coralnet.ucsd.edu/source/2859/browse/images/,645,2238350
Maui_Molokini,yes,https://coralnet.ucsd.edu/source/2863/,https://coralnet.ucsd.edu/source/2863/browse/images/,664,2238568
Maui_Olowalu,yes,https://coralnet.ucsd.edu/source/2861/,https://coralnet.ucsd.edu/source/2861/browse/images/,678,2238781
Maui_Papa'ula,yes,https://coralnet.ucsd.edu/source/2716/,https://coralnet.ucsd.edu/source/2716/browse/images/,660,2088382
Maui_Puamana,yes,https://coralnet.ucsd.edu/source/2874/,https://coralnet.ucsd.edu/source/2874/browse/images/,651,2239135
Maunalua Bay,yes,https://coralnet.ucsd.edu/source/1749/,https://coralnet.ucsd.edu/source/1749/browse/images/,582,1495720
Maunalua Bay Nearshore (official),yes,https://coralnet.ucsd.edu/source/3341/,https://coralnet.ucsd.edu/source/3341/browse/images/,1004,3265074
Micro,yes,https://coralnet.ucsd.edu/source/2978/,https://coralnet.ucsd.edu/source/2978/browse/images/,3027,2331771
micro_bbb4,yes,https://coralnet.ucsd.edu/source/3554/,https://coralnet.ucsd.edu/source/3554/browse/images/,6000,3019231
Micro_challenge,yes,https://coralnet.ucsd.edu/source/3015/,https://coralnet.ucsd.edu/source/3015/browse/images/,7081,2353262
micro_combined,yes,https://coralnet.ucsd.edu/source/3058/,https://coralnet.ucsd.edu/source/3058/browse/images/,27418,2398160
micro100,yes,https://coralnet.ucsd.edu/source/3500/,https://coralnet.ucsd.edu/source/3500/browse/images/,6000,2915877
Micronesia_2022,yes,https://coralnet.ucsd.edu/source/3411/,https://coralnet.ucsd.edu/source/3411/browse/images/,15947,2735560
Micronesia_bitbybit2,yes,https://coralnet.ucsd.edu/source/3478/,https://coralnet.ucsd.edu/source/3478/browse/images/,6133,2841717
Micronesia_bitbybit3,yes,https://coralnet.ucsd.edu/source/3496/,https://coralnet.ucsd.edu/source/3496/browse/images/,9000,2912718
MLC2008,yes,https://coralnet.ucsd.edu/source/3498/,https://coralnet.ucsd.edu/source/3498/browse/images/,671,2892563
montserrat,yes,https://coralnet.ucsd.edu/source/3413/,https://coralnet.ucsd.edu/source/3413/browse/images/,5079,2693879
Moreton Bay Transects,yes,https://coralnet.ucsd.edu/source/3298/,https://coralnet.ucsd.edu/source/3298/browse/images/,920,2581463
N. Caribbean ACA,yes,https://coralnet.ucsd.edu/source/1580/,https://coralnet.ucsd.edu/source/1580/browse/images/,16421,1208727
NFWF_Corrected,yes,https://coralnet.ucsd.edu/source/4422/,https://coralnet.ucsd.edu/source/4422/browse/images/,1422,3723586
NOAA ESD Coral Bleaching Classifier,yes,https://coralnet.ucsd.edu/source/2947/,https://coralnet.ucsd.edu/source/2947/browse/images/,5217,2301057
Norfolk Benthic Cover Longterm Monitoring 2020 to August 2023,yes,https://coralnet.ucsd.edu/source/3182/,https://coralnet.ucsd.edu/source/3182/browse/images/,4155,3655386
North Shore Disease Surveys,yes,https://coralnet.ucsd.edu/source/3519/,https://coralnet.ucsd.edu/source/3519/browse/images/,1779,2945849
Okinawa Coral Reef Conservation2017-18,yes,https://coralnet.ucsd.edu/source/843/,https://coralnet.ucsd.edu/source/843/browse/images/,2820,1210021
Okinawa Coral Reef Conservation2019-20,yes,https://coralnet.ucsd.edu/source/1645/,https://coralnet.ucsd.edu/source/1645/browse/images/,3000,1477534
Penida benthic surveys,yes,https://coralnet.ucsd.edu/source/3606/,https://coralnet.ucsd.edu/source/3606/browse/images/,1620,3389479
Pohnpei,yes,https://coralnet.ucsd.edu/source/3425/,https://coralnet.ucsd.edu/source/3425/browse/images/,687,2739770
REEFolution Kenya,yes,https://coralnet.ucsd.edu/source/3354/,https://coralnet.ucsd.edu/source/3354/browse/images/,1665,3071134
Saudi Red Sea Seasonal Differences: Offshore-Midshelf sheltered crest,yes,https://coralnet.ucsd.edu/source/2616/,https://coralnet.ucsd.edu/source/2616/browse/images/,4904,2274993
Saudi Red Sea Seasonal Differences: Offshore-Midshelf sheltered slope,yes,https://coralnet.ucsd.edu/source/2615/,https://coralnet.ucsd.edu/source/2615/browse/images/,4943,2274986
SFS Mangrove DR,yes,https://coralnet.ucsd.edu/source/1725/,https://coralnet.ucsd.edu/source/1725/browse/images/,1215,1387934
Sint Eustatius,yes,https://coralnet.ucsd.edu/source/1783/,https://coralnet.ucsd.edu/source/1783/browse/images/,1638,1508488
Southern Arabian Gulf Biodiversity Assessment 2019,yes,https://coralnet.ucsd.edu/source/1713/,https://coralnet.ucsd.edu/source/1713/browse/images/,1782,1361933
Southern Line Islands,yes,https://coralnet.ucsd.edu/source/3064/,https://coralnet.ucsd.edu/source/3064/browse/images/,3480,2413640
STINAPA GCRMN,yes,https://coralnet.ucsd.edu/source/3932/,https://coralnet.ucsd.edu/source/3932/browse/images/,920,3354683
TIBS Directed Research Mangroves,yes,https://coralnet.ucsd.edu/source/1724/,https://coralnet.ucsd.edu/source/1724/browse/images/,570,1385338
Tonga,yes,https://coralnet.ucsd.edu/source/1388/,https://coralnet.ucsd.edu/source/1388/browse/images/,15926,1024181
Tonga_2022-08 & Samoa_2022-09 & Samoa_2019-12 & Samoa_2017-12,yes,https://coralnet.ucsd.edu/source/3567/,https://coralnet.ucsd.edu/source/3567/browse/images/,7419,3054391
